#x_m,y_m,w_tr_right_m,w_tr_left_m
158.4428558,-370.4305725,5,5
159.3976898,-370.4584961,5,5
160.3592224,-370.4848633,5,5
161.3263092,-370.5195618,5,5
162.29953,-370.5545959,5,5
163.2796021,-370.5874939,5,5
164.2663879,-370.6209717,5,5
165.259903,-370.6560364,5,5
166.2600708,-370.6928711,5,5
167.2669373,-370.7314453,5,5
168.2804413,-370.7715149,5,5
169.3006287,-370.8128967,5,5
170.3274384,-370.8554688,5,5
171.3609161,-370.8989868,5,5
172.4010773,-370.9433899,5,5
173.4478455,-370.9884949,5,5
174.5012665,-371.0342407,5,5
175.5613098,-371.0805664,5,5
176.6279602,-371.1273804,5,5
177.7012329,-371.1745911,5,5
178.7805481,-371.212738,5,5
179.8651733,-371.2372131,5,5
180.9554443,-371.2621765,5,5
182.0522461,-371.2874451,5,5
183.1555176,-371.309082,5,5
184.2652893,-371.3258972,5,5
185.381485,-371.3378906,5,5
186.5040741,-371.3453369,5,5
187.6330566,-371.3489075,5,5
188.7676697,-371.3587036,5,5
189.9081573,-371.3675232,5,5
191.0551147,-371.3727722,5,5
192.2085114,-371.3774414,5,5
193.3683014,-371.3828735,5,5
194.5344696,-371.3894958,5,5
195.7069855,-371.3973694,5,5
196.8856812,-371.4065552,5,5
198.068985,-371.4073792,5,5
199.2565613,-371.4071655,5,5
200.4497681,-371.4090271,5,5
201.6488037,-371.4100342,5,5
202.8536682,-371.4092407,5,5
204.0643921,-371.4064026,5,5
205.2807922,-371.4014282,5,5
206.5025177,-371.3945923,5,5
207.7299194,-371.3859558,5,5
208.9629211,-371.375885,5,5
210.2007599,-371.3644104,5,5
211.4424133,-371.3518372,5,5
212.6866913,-371.3382263,5,5
213.9320221,-371.3238831,5,5
215.1769714,-371.3088684,5,5
216.4206238,-371.2932739,5,5
217.6621704,-371.2772827,5,5
218.9008789,-371.2609253,5,5
220.1360931,-371.2443237,5,5
221.3672638,-371.2275696,5,5
222.5938568,-371.2106934,5,5
223.8154449,-371.1936646,5,5
225.031601,-371.1766357,5,5
226.2419739,-371.1596375,5,5
227.446228,-371.1426392,5,5
228.6441345,-371.1257629,5,5
229.8353882,-371.1089478,5,5
231.0198212,-371.0922241,5,5
232.1972046,-371.075592,5,5
233.3674011,-371.059082,5,5
234.5302277,-371.0427246,5,5
235.6855164,-371.0265198,5,5
236.8332367,-371.0104065,5,5
237.9732208,-370.9945374,5,5
239.105423,-370.9788208,5,5
240.2297974,-370.9631653,5,5
241.3462677,-370.9477234,5,5
242.4547729,-370.9324646,5,5
243.5546875,-370.9079895,5,5
244.6451569,-370.8701172,5,5
245.727417,-370.8330078,5,5
246.801712,-370.7963867,5,5
247.8679199,-370.7566223,5,5
248.9248505,-370.7034607,5,5
249.9730225,-370.6446838,5,5
251.0131073,-370.5835571,5,5
252.0448914,-370.518158,5,5
253.0684662,-370.4482422,5,5
254.083786,-370.374176,5,5
255.0908661,-370.2967224,5,5
256.0898438,-370.2164307,5,5
257.0807495,-370.1339722,5,5
258.0636597,-370.0498657,5,5
259.0386658,-369.9645996,5,5
260.0058289,-369.87854,5,5
260.9652405,-369.7920227,5,5
261.9169006,-369.7052307,5,5
262.8609314,-369.6184387,5,5
263.7958984,-369.522644,5,5
264.7228394,-369.4262085,5,5
265.6424866,-369.3319397,5,5
266.554657,-369.2373352,5,5
267.4576416,-369.1325378,5,5
268.3526001,-369.0259705,5,5
269.240387,-368.9204102,5,5
270.1206665,-368.8136597,5,5
270.9934692,-368.7052002,5,5
271.8569946,-368.5861206,5,5
272.7126465,-368.4654236,5,5
273.5613403,-368.3458862,5,5
274.4027405,-368.2253418,5,5
275.2368469,-368.103363,5,5
276.0617065,-367.9711914,5,5
276.8789063,-367.8378296,5,5
277.6894226,-367.7060547,5,5
278.4929199,-367.5736389,5,5
279.2892761,-367.4400635,5,5
280.0764465,-367.2967529,5,5
280.8532715,-367.1410217,5,5
281.6235962,-366.9878845,5,5
282.3881226,-366.8366394,5,5
283.1491089,-366.683075,5,5
283.9069214,-366.5171509,5,5
284.6604309,-366.3363342,5,5
285.4144592,-366.1558228,5,5
286.1714478,-365.9743958,5,5
286.9312134,-365.7886658,5,5
287.6897278,-365.5897827,5,5
288.4447327,-365.3754883,5,5
289.2002869,-365.1611328,5,5
289.9558411,-364.9464111,5,5
290.712616,-364.7274475,5,5
291.468811,-364.494873,5,5
292.223114,-364.2461243,5,5
292.980957,-363.9961243,5,5
293.7421265,-363.7444458,5,5
294.5069885,-363.4874573,5,5
295.2756653,-363.224762,5,5
296.0435791,-362.948822,5,5
296.8136597,-362.6685181,5,5
297.5889893,-362.3859253,5,5
298.3691406,-362.0990601,5,5
299.1541443,-361.8074951,5,5
299.9442749,-361.5114746,5,5
300.7353821,-361.203186,5,5
301.5302429,-360.8911133,5,5
302.3298645,-360.5779724,5,5
303.134491,-360.2611389,5,5
303.9442139,-359.9398804,5,5
304.7545776,-359.6062012,5,5
305.5627747,-359.2575378,5,5
306.3751831,-358.9075317,5,5
307.1931763,-358.5552673,5,5
308.0154724,-358.1972046,5,5
308.8370056,-357.8248596,5,5
309.6608582,-357.446228,5,5
310.4883423,-357.0642395,5,5
311.3195496,-356.6765442,5,5
312.1546936,-356.2828674,5,5
